Time,X_Position,Y_Position,Velocity_X,Velocity_Y
1748428322.949754,0.0,-0.0,6.3639610306789285,6.3639610306789285
1748428322.9637475,0.10182337649086286,0.09931201649086271,6.3639610306789285,6.207001030678929
1748428322.9798813,0.21001071401240465,0.20199594401240498,6.3639610306789285,6.040231030678929
1748428322.9962652,0.3118340905032675,0.2961282805032681,6.3639610306789285,5.883271030678929
1748428323.012616,0.41365746699413036,0.38774925699413054,6.3639610306789285,5.7263110306789295
1748428323.028409,0.5154808434849932,0.4768588734849933,6.3639610306789285,5.56935103067893
1748428323.0451477,0.623668181006535,0.5687027510065349,6.3639610306789285,5.40258103067893
1748428323.0621448,0.7318555185280768,0.6577115385280763,6.3639610306789285,5.2358110306789305
1748428323.07892,0.8400428560496187,0.7438852360496184,6.3639610306789285,5.069041030678931
1748428323.095485,0.9418662325404815,0.822478532540481,6.3639610306789285,4.912081030678931
1748428323.1111171,1.0436896090313443,0.8985604690313437,6.3639610306789285,4.755121030678931
1748428323.1280246,1.151876946552886,0.976562436552886,6.3639610306789285,4.588351030678932
1748428323.1448922,1.2600642840744278,1.0517293140744282,6.3639610306789285,4.421581030678932
1748428323.1618311,1.3682516215959697,1.12406110159597,6.3639610306789285,4.254811030678932
1748428323.1782274,1.4700749980868326,1.1896267180868325,6.3639610306789285,4.097851030678933
1748428323.1948094,1.5718983745776955,1.2526809745776954,6.3639610306789285,3.9408910306789324
1748428323.210054,1.6737217510685585,1.3132238710685584,6.3639610306789285,3.783931030678932
1748428323.22695,1.7819090885901003,1.3747156085901007,6.3639610306789285,3.617161030678932
1748428323.244067,1.8900964261116422,1.4333722561116427,6.3639610306789285,3.450391030678932
1748428323.2607408,1.9919198026025051,1.4860671526025053,6.3639610306789285,3.293431030678932
1748428323.276924,2.100107140124047,1.5392203901240473,6.3639610306789285,3.1266610306789318
1748428323.2936363,2.2019305166149095,1.5867356066149105,6.3639610306789285,2.9697010306789315
1748428323.3101637,2.3101178541364513,1.6343854341364523,6.3639610306789285,2.8029310306789315
1748428323.3271925,2.418305191657993,1.679200171657994,6.3639610306789285,2.6361610306789314
1748428323.3435833,2.520128568148856,1.718867388148857,6.3639610306789285,2.479201030678931
1748428323.359125,2.621951944639719,1.75602324463972,6.3639610306789285,2.322241030678931
1748428323.3755665,2.723775321130582,1.7906677411305831,6.3639610306789285,2.1652810306789307
1748428323.3926022,2.831962658652124,1.8246424286521252,6.3639610306789285,1.9985110306789307
1748428323.4089613,2.9401499961736657,1.855782026173667,6.3639610306789285,1.8317410306789306
1748428323.425999,3.0483373336952075,1.8840865336952086,6.3639610306789285,1.6649710306789305
1748428323.44268,3.1501607101860705,1.9082147101860718,6.3639610306789285,1.5080110306789305
1748428323.4590693,3.2583480477076123,1.9310158077076134,6.3639610306789285,1.3412410306789304
1748428323.4749749,3.3601714241984753,1.949964304198476,6.3639610306789285,1.1842810306789304
1748428323.4916499,3.461994800689338,1.9664014406893386,6.3639610306789285,1.0273210306789304
1748428323.50807,3.57018213821088,1.9810308082108805,6.3639610306789285,0.8605510306789304
1748428323.524104,3.672005514701743,1.9922882647017437,6.3639610306789285,0.7035910306789304
1748428323.5404794,3.773828891192606,2.0010343611926062,6.3639610306789285,0.5466310306789304
1748428323.5572217,3.8820162287141478,2.007491998714148,6.3639610306789285,0.37986103067893034
1748428323.5733912,3.9838396052050107,2.011058415205011,6.3639610306789285,0.22290103067893033
1748428323.5900302,4.0920269427265525,2.012012642726553,6.3639610306789285,0.0561310306789303
1748428323.6072655,4.200214280248094,2.0101317802480945,6.3639610306789285,-0.11063896932106973
1748428323.6236796,4.302037656738957,2.005850196738957,6.3639610306789285,-0.26759896932106975
1748428323.6409712,4.416588955291177,1.997854975291178,6.3639610306789285,-0.4441789693210697
1748428323.6575804,4.51841233178204,1.9882367517820407,6.3639610306789285,-0.6011389693210697
1748428323.6745636,4.626599669303581,1.975182299303583,6.3639610306789285,-0.7679089693210697
1748428323.691599,4.734787006825122,1.959292756825125,6.3639610306789285,-0.9346789693210698
1748428323.7081802,4.842974344346663,1.9405681243466668,6.3639610306789285,-1.1014489693210698
1748428323.725165,4.944797720837526,1.9204335808375295,6.3639610306789285,-1.2584089693210698
1748428323.7421825,5.059349019389746,1.8946037793897499,6.3639610306789285,-1.4349889693210698
1748428323.7588892,5.167536356911287,1.867373876911292,6.3639610306789285,-1.6017589693210699
1748428323.7759168,5.275723694432829,1.837308884432834,6.3639610306789285,-1.76852896932107
1748428323.7926366,5.377547070923692,1.8065010609236973,6.3639610306789285,-1.92548896932107
1748428323.8082457,5.479370447414554,1.77318187741456,6.3639610306789285,-2.08244896932107
1748428323.8245587,5.581193823905417,1.7373513339054227,6.3639610306789285,-2.23940896932107
1748428323.841632,5.689381161426957,1.696446291426964,6.3639610306789285,-2.4061789693210702
1748428323.8578148,5.79120453791782,1.6554360679178273,6.3639610306789285,-2.5631389693210704
1748428323.8737705,5.893027914408682,1.61191448440869,6.3639610306789285,-2.7200989693210706
1748428323.8890417,5.994851290899545,1.5658815408995528,6.3639610306789285,-2.877058969321071
1748428323.9058456,6.096674667390407,1.5173372373904157,6.3639610306789285,-3.034018969321071
1748428323.9219332,6.2048620049119485,1.4629238249119576,6.3639610306789285,-3.200788969321071
1748428323.9381468,6.306685381402811,1.4091998414028202,6.3639610306789285,-3.3577489693210714
1748428323.9550068,6.414872718924353,1.3492830189243619,6.3639610306789285,-3.5245189693210714
1748428323.9716678,6.516696095415215,1.290379355415225,6.3639610306789285,-3.6814789693210717
1748428323.987965,6.624883432936756,1.2249591229367667,6.3639610306789285,-3.8482489693210717
1748428324.0040104,6.726706809427619,1.1608757794276292,6.3639610306789285,-4.005208969321072
1748428324.0206668,6.828530185918481,1.0942810759184918,6.3639610306789285,-4.162168969321072
1748428324.0374794,6.936717523440023,1.0206891134400338,6.3639610306789285,-4.328938969321071
1748428324.0537567,7.038540899930885,0.9489147299308968,6.3639610306789285,-4.485898969321071
1748428324.0698476,7.146728237452426,0.8698193574524387,6.3639610306789285,-4.652668969321071
1748428324.0860012,7.248551613943289,0.7928652939433012,6.3639610306789285,-4.8096289693210705
1748428324.1028051,7.350374990434151,0.7133998704341641,6.3639610306789285,-4.96658896932107
1748428324.1183817,7.452198366925014,0.6314230869250271,6.3639610306789285,-5.12354896932107
1748428324.134724,7.554021743415876,0.5469349434158896,6.3639610306789285,-5.28050896932107
1748428324.1515796,7.6622090809374175,0.4543312009374309,6.3639610306789285,-5.4472789693210695
1748428324.1673577,7.76403245742828,0.36466337742829374,6.3639610306789285,-5.604238969321069
1748428324.1839528,7.872219794949822,0.266556224949836,6.3639610306789285,-5.771008969321069
1748428324.201396,7.980407132471362,0.16561398247137807,6.3639610306789285,-5.9377789693210685
1748428324.2177546,8.082230508962224,0.06809815896224052,6.3639610306789285,-6.094738969321068
1748428324.234473,8.190417846483767,-0.0,0,0
1748428324.2506025,8.190417846483767,-0.0,0,0
1748428324.2673085,8.190417846483767,-0.0,0,0
1748428324.2837558,8.190417846483767,-0.0,0,0
1748428324.300546,8.190417846483767,-0.0,0,0
1748428324.317169,8.190417846483767,-0.0,0,0
1748428324.3334067,8.190417846483767,-0.0,0,0
1748428324.349589,8.190417846483767,-0.0,0,0
1748428324.3660352,8.190417846483767,-0.0,0,0
1748428324.3831027,8.190417846483767,-0.0,0,0
1748428324.3999653,8.190417846483767,-0.0,0,0
1748428324.4162483,8.190417846483767,-0.0,0,0
1748428324.432637,8.190417846483767,-0.0,0,0
1748428324.4486933,8.190417846483767,-0.0,0,0
1748428324.4646127,8.190417846483767,-0.0,0,0
1748428324.4817984,8.190417846483767,-0.0,0,0
1748428324.4981902,8.190417846483767,-0.0,0,0
1748428324.5144968,8.190417846483767,-0.0,0,0
1748428324.53042,8.190417846483767,-0.0,0,0
1748428324.5473878,8.190417846483767,-0.0,0,0
1748428324.5635378,8.190417846483767,-0.0,0,0
1748428324.5797586,8.190417846483767,-0.0,0,0
1748428324.5963814,8.190417846483767,-0.0,0,0
1748428324.6126926,8.190417846483767,-0.0,0,0
1748428324.6285486,8.190417846483767,-0.0,0,0
1748428324.6455119,8.190417846483767,-0.0,0,0
1748428324.6615787,8.190417846483767,-0.0,0,0
1748428324.6773102,8.190417846483767,-0.0,0,0
1748428324.693626,8.190417846483767,-0.0,0,0
1748428324.710609,8.190417846483767,-0.0,0,0
1748428324.7273927,8.190417846483767,-0.0,0,0
1748428324.7434437,8.190417846483767,-0.0,0,0
1748428324.7599223,8.190417846483767,-0.0,0,0
1748428324.7770443,8.190417846483767,-0.0,0,0
1748428324.7931893,8.190417846483767,-0.0,0,0
1748428324.8103976,8.190417846483767,-0.0,0,0
1748428324.82698,8.190417846483767,-0.0,0,0
1748428324.843278,8.190417846483767,-0.0,0,0
1748428324.8590083,8.190417846483767,-0.0,0,0
1748428324.8765767,8.190417846483767,-0.0,0,0
1748428324.8926795,8.190417846483767,-0.0,0,0
1748428324.908523,8.190417846483767,-0.0,0,0
1748428324.9250345,8.190417846483767,-0.0,0,0
1748428324.9428208,8.190417846483767,-0.0,0,0
1748428324.9602442,8.190417846483767,-0.0,0,0
